[ERR] 2017-09-18 06:38:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:38:21 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:38:21 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:38:21 | Forged new block id: 290280198715587501 height: 16 round: 8 slot: 4160750 reward:0
[ERR] 2017-09-18 06:38:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:38:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:38:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:38:40 | Forged new block id: 898933920402237764 height: 17 round: 9 slot: 4160752 reward:0
[ERR] 2017-09-18 06:38:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:38:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:39:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:39:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:39:00 | Forged new block id: 8104784160655077643 height: 18 round: 9 slot: 4160754 reward:0
[ERR] 2017-09-18 06:39:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:39:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:39:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:39:20 | Forged new block id: 18076470764473407884 height: 19 round: 10 slot: 4160756 reward:0
[ERR] 2017-09-18 06:39:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:39:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:39:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:39:40 | Forged new block id: 2812043903279516695 height: 20 round: 10 slot: 4160758 reward:0
[ERR] 2017-09-18 06:39:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:39:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:40:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:40:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:40:00 | Forged new block id: 2399784287475888308 height: 21 round: 11 slot: 4160760 reward:0
[ERR] 2017-09-18 06:40:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:40:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:40:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:40:20 | Forged new block id: 6789755077181726561 height: 22 round: 11 slot: 4160762 reward:0
[ERR] 2017-09-18 06:40:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:40:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:40:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:40:41 | Forged new block id: 641767837629136976 height: 23 round: 12 slot: 4160764 reward:0
[ERR] 2017-09-18 06:40:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:40:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:41:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:41:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:41:00 | Forged new block id: 4475367261256225006 height: 24 round: 12 slot: 4160766 reward:0
[ERR] 2017-09-18 06:41:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:41:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:41:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:41:20 | Forged new block id: 6508485095551514933 height: 25 round: 13 slot: 4160768 reward:0
[ERR] 2017-09-18 06:41:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:41:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:41:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:41:40 | Forged new block id: 15018225925111975875 height: 26 round: 13 slot: 4160770 reward:0
[ERR] 2017-09-18 06:41:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:41:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:42:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:42:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:42:00 | Forged new block id: 18443563641139235371 height: 27 round: 14 slot: 4160772 reward:0
[ERR] 2017-09-18 06:42:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:42:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:42:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:42:20 | Forged new block id: 17741180816284722801 height: 28 round: 14 slot: 4160774 reward:0
[ERR] 2017-09-18 06:42:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:42:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:42:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:42:40 | Forged new block id: 3964531375428579329 height: 29 round: 15 slot: 4160776 reward:0
[ERR] 2017-09-18 06:42:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:42:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:43:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:43:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:43:00 | Forged new block id: 12582218430160578909 height: 30 round: 15 slot: 4160778 reward:0
[ERR] 2017-09-18 06:43:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:13 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:18 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:43:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:43:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:43:20 | Forged new block id: 8419435822649451612 height: 31 round: 16 slot: 4160780 reward:0
[ERR] 2017-09-18 06:43:23 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:28 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:33 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:38 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:43:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:43:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:43:40 | Forged new block id: 16097033531757051788 height: 32 round: 16 slot: 4160782 reward:0
[ERR] 2017-09-18 06:43:43 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:48 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:53 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:43:58 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:44:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:44:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:44:00 | Forged new block id: 7921218932997149271 height: 33 round: 17 slot: 4160784 reward:0
[ERR] 2017-09-18 06:44:03 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:08 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:14 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:19 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:44:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:44:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:44:20 | Forged new block id: 15369195991195766041 height: 34 round: 17 slot: 4160786 reward:0
[ERR] 2017-09-18 06:44:24 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:29 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:34 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:39 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:44:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:44:40 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:44:40 | Forged new block id: 17756594334607076921 height: 35 round: 18 slot: 4160788 reward:0
[ERR] 2017-09-18 06:44:44 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:49 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:54 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:44:59 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:45:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:45:00 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:45:00 | Forged new block id: 15122891689894907919 height: 36 round: 18 slot: 4160790 reward:0
[ERR] 2017-09-18 06:45:04 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:45:09 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:45:14 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:45:19 | Discovering new peers failed - No acceptable peers found
[inf] 2017-09-18 06:45:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:45:20 | Broadhash consensus now 0 %
[inf] 2017-09-18 06:45:21 | Forged new block id: 9708033985053686369 height: 37 round: 19 slot: 4160792 reward:0
[ERR] 2017-09-18 06:45:24 | Discovering new peers failed - No acceptable peers found
[ERR] 2017-09-18 06:45:29 | Discovering new peers failed - No acceptable peers found
